H4,H3,K,Q,A
H2,J,Q,J,H3
K,H5,H3,H3,H4
H3,Q,A,J,H1
Q,J,H3,H1,Q
K,H5,J,J,J
H3,H4,Q,BV,K
H4,H1,H4,K,J
Q,A,H2,A,A
J,H5,H4,A,W
A,K,H4,H4,Q
A,H3,H5,J,BV
A,Q,H3,J,H3
H5,H5,H2,H4,H1
H2,K,J,H2,H5
H5,BV,J,H5,Q
H2,J,Q,K,J
H3,J,H3,H3,Q
J,K,K,H4,H2
H2,Q,K,K,H3
H3,J,H4,A,A
Q,H4,J,H3,Q
A,H3,A,H5,A
J,K,J,H3,H3
H2,H1,Q,H4,K
H5,K,J,H5,J
BV,BV,H5,H3,H2
H2,A,A,A,H2
A,W,H4,H2,H3
W,K,W,H3,H2
J,SC,H3,W,H3
H3,H4,K,K,Q
K,H4,SC,K,Q
J,H4,J,A,SC
J,H2,A,Q,H4
H4,H1,K,A,H5
BV,H3,W,H2,J
K,Q,H4,BV,J
H3,Q,A,H4,W
H5,W,H3,J,BV
H3,A,H4,K,H4
H5,H4,H2,J,H4
J,J,H3,J,H5
H5,Q,J,H4,H2
K,H2,J,J,H2
K,H1,H2,W,H3
SC,H1,J,H4,H5
W,Q,A,J,H3
J,H2,H2,H3,H3
H3,H3,H3,J,A
A,A,H2,Q,J
H4,H5,H4,H2,K
H2,H4,H1,J,H5
H4,H1,Q,K,H3
H2,J,H3,H2,H5
J,H5,H3,A,H5
H4,K,A,H3,H5
H5,J,J,H2,H5
J,H3,H3,H2,H3
H5,H4,A,A,K
H1,H3,A,H4,H3
H1,H2,H3,H5,A
H4,Q,H3,A,H3
H3,H1,H3,J,A
K,J,J,H5,H5
H5,J,BV,H2,J
H3,H2,BV,A,J
H2,H5,H3,SC,K
J,A,H5,H2,H3
H4,H3,H3,H2,H2
Q,J,K,Q,H4
J,H3,H1,H3,Q
Q,J,A,Q,H2
H3,H2,H4,H2,H3
J,Q,A,H3,K
A,J,H4,J,J
H2,H2,A,A,H4
K,H5,J,J,A
H1,H1,J,H4,H4
H2,J,H2,H5,J
