H2,K,K,J,Q
A,K,K,H2,H4
Q,Q,K,A,K
H5,A,Q,J,Q
H3,A,H5,H4,H1
H4,H3,A,H3,H5
J,W,W,J,A
Q,J,J,J,A
A,H3,K,W,W
A,A,SC,W,W
W,H4,K,H3,J
H5,Q,Q,A,H1
H1,K,H2,K,H4
A,W,J,H3,J
W,H4,H4,H5,W
J,H5,H2,H2,Q
J,H2,H3,H3,W
W,H1,W,H2,Q
J,K,W,J,H5
J,J,H2,A,H5
A,H5,K,J,H5
H3,A,A,W,J
H2,SC,H1,Q,K
Q,Q,Q,H3,H4
A,H1,Q,H1,J
H2,H3,H4,A,W
W,A,K,SC,J
W,A,J,W,SC
SC,J,H2,H2,J
H4,H3,A,H5,H2
H3,W,H5,H4,K
H2,H2,W,H5,Q
H4,Q,Q,A,H4
K,Q,J,H3,J
Q,A,H3,H2,A
H1,H5,H1,H5,K
H3,H3,H3,H4,H3
A,K,Q,J,W
K,W,K,Q,A
H1,H4,H4,W,H2
Q,J,H2,H3,H4
W,H2,H5,W,H1
J,H2,J,H4,A
H3,J,J,J,Q
K,H2,J,J,K
H5,H2,H1,W,H1
H1,Q,H3,H2,H3
W,H5,K,A,Q
H5,K,Q,H5,H4
H5,J,H3,H4,H4
H3,W,H3,Q,A
K,A,H3,H3,A
K,H4,H2,H1,J
H5,H3,H5,A,Q
H4,W,H2,Q,W
H2,A,H5,H2,H3
H1,J,H2,H2,H3
H2,H2,K,H4,Q
H1,A,H5,J,J
A,W,W,H4,H2
H3,H3,K,H2,J
H1,A,W,H5,J
H3,J,H4,K,J
H3,H1,W,K,H5
