J,W,W,H1,W
K,H1,W,K,H1
W,W,K,H1,W
W,H2,W,H1,H1
W,H1,K,Q,H4
H3,J,H1,K,J
H1,W,K,W,H1
K,W,K,W,W
W,W,H1,K,W
Q,A,H1,J,H1
J,W,J,W,A
W,W,W,W,A
H2,H3,W,A,K
J,H3,H1,H1,W
W,A,H3,Q,H3
H3,Q,H1,Q,W
K,W,W,K,H2
H1,A,W,Q,W
H1,H5,A,Q,H1
J,Q,W,H1,J
W,W,H1,W,K
K,A,H1,A,W
H3,W,K,W,J
H2,J,J,H1,W
H1,H3,H3,H5,H2
W,K,H2,Q,A
W,W,Q,W,W
W,A,J,W,H1
H1,H2,H1,J,J
H2,W,H1,W,K
K,H1,W,W,H2
H1,H1,H3,W,Q
W,W,Q,Q,W
W,W,W,H3,H2
W,J,W,H3,W
W,H2,W,W,K
H2,H3,K,W,H3
H1,H3,W,H1,K
J,H1,J,Q,A
J,W,W,H1,J
W,H1,W,W,J
W,W,H3,H2,H1
A,K,K,H3,W
H1,J,H3,W,W
Q,H1,H3,H1,H1
H2,H1,W,H3,W
H3,A,A,W,A
H2,H3,H2,J,W
